#!CONVERGE_VERSION=3.1
##!Exported by CONVERGE Studio v3.1 Jan 31 2022 17:37:18
#=======================


LNH3 molecular_weight 17.031
!                       PowerIdx  ConsistentIdx  YieldStress(N/m2)  SolidViscosity(m2/s)
HERSCHEL_BULKLEY_MODEL        1             1           1                    1
!              RefPressure[Pa]  RefDensity[kg/m3]  BulkModulus[Pa]
Compressible          101325            598.87         1.9e+09
!              CriticalTemp[K]
Critical_temp          405.65
!Temperature  Viscosity   Surf tension Heat of Vapo  Vapor pres  Conductivity   Density    Specific heat
!    [K]      [N*s/m^2]      [N/m]        [J/kg]        [Pa]       [W/(m*K)]    [kg/m^3]     [J/(kg*K)]
            0  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           10  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           20  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           30  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           40  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           50  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           60  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           70  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           80  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
           90  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          100  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          110  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          120  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          130  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          140  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          150  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          160  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          170  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          180  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          190  0.000572593    0.0456971  1.45714e+06      6119.73      0.65812      734.256      4518.86
          200   0.00051074    0.0444868  1.44548e+06      8752.93      0.65812      728.998      4536.04
          210  0.000416429    0.0418703  1.41949e+06      17936.9      0.65812      717.383      4552.13
          220  0.000348842    0.0392826  1.39264e+06      34110.6      0.65812      705.534      4549.85
          230  0.000298529    0.0367248  1.36485e+06      60853.6      0.63528      693.428      4536.38
          240  0.000259749    0.0341982  1.33604e+06       102760      0.61244      681.043      4518.89
          250  0.000228876    0.0317045   1.3061e+06       165472       0.5896      668.349      4504.56
          260  0.000203543    0.0292451  1.27491e+06       255682      0.56676      655.315      4500.57
          270   0.00018217    0.0268219  1.24232e+06       381089      0.54392      641.901      4514.09
          280  0.000163679     0.024437  1.20817e+06       550346      0.52108      628.062       4552.3
          290  0.000147325    0.0220929  1.17224e+06       772999      0.49824      613.739      4622.39
          300  0.000132597    0.0197921  1.13428e+06  1.05942e+06       0.4754      598.865      4731.51
          310  0.000119142     0.017538  1.09396e+06  1.42076e+06      0.45256      583.352      4886.86
          320  0.000106724    0.0153343  1.05086e+06  1.86894e+06      0.42972      567.088      5095.61
          330  9.51896e-05    0.0131856  1.00443e+06  2.41658e+06      0.40688      549.924      5364.93
          340  8.44452e-05    0.0110975       953908   3.0771e+06      0.38404       531.66         5702
          350  7.44389e-05   0.00907721       898219  3.86469e+06       0.3612      512.009      6114.01
          360  6.51467e-05   0.00713423       835737  4.79442e+06      0.33836      490.538      6608.12
          370  5.65615e-05   0.00528167       763805  5.88231e+06      0.31552      466.545      7191.51
          380  4.86842e-05    0.0035393       677549  7.14545e+06      0.29268      438.739      7871.37
          390  4.15171e-05   0.00194087       566026  8.60212e+06      0.26984      404.227      8249.71
          400   3.5059e-05  0.000562287       390642   1.0272e+07        0.247      352.766      8249.71
          410  3.15213e-05            0            0  1.13176e+07        0.247       236.89      8249.71
