122 122 240
1 0 0 0.0043
2 1.228321e-17 0 -0.1
3 -0.05 0 0.0043
4 -0.05 0 -0.1
5 -0.04972609 0.005226423 0.0043
6 -0.04972609 0.005226423 -0.1
7 -0.04890738 0.01039558 0.0043
8 -0.04890738 0.01039558 -0.1
9 -0.04755283 0.01545085 0.0043
10 -0.04755283 0.01545085 -0.1
11 -0.04567727 0.02033683 0.0043
12 -0.04567727 0.02033683 -0.1
13 -0.04330127 0.025 0.0043
14 -0.04330127 0.025 -0.1
15 -0.04045085 0.02938926 0.0043
16 -0.04045085 0.02938926 -0.1
17 -0.03715724 0.03345653 0.0043
18 -0.03715724 0.03345653 -0.1
19 -0.03345653 0.03715724 0.0043
20 -0.03345653 0.03715724 -0.1
21 -0.02938926 0.04045085 0.0043
22 -0.02938926 0.04045085 -0.1
23 -0.025 0.04330127 0.0043
24 -0.025 0.04330127 -0.1
25 -0.02033683 0.04567727 0.0043
26 -0.02033683 0.04567727 -0.1
27 -0.01545085 0.04755283 0.0043
28 -0.01545085 0.04755283 -0.1
29 -0.01039558 0.04890738 0.0043
30 -0.01039558 0.04890738 -0.1
31 -0.005226423 0.04972609 0.0043
32 -0.005226423 0.04972609 -0.1
33 -3.061617e-18 0.05 0.0043
34 9.22159e-18 0.05 -0.1
35 0.005226423 0.04972609 0.0043
36 0.005226423 0.04972609 -0.1
37 0.01039558 0.04890738 0.0043
38 0.01039558 0.04890738 -0.1
39 0.01545085 0.04755283 0.0043
40 0.01545085 0.04755283 -0.1
41 0.02033683 0.04567727 0.0043
42 0.02033683 0.04567727 -0.1
43 0.025 0.04330127 0.0043
44 0.025 0.04330127 -0.1
45 0.02938926 0.04045085 0.0043
46 0.02938926 0.04045085 -0.1
47 0.03345653 0.03715724 0.0043
48 0.03345653 0.03715724 -0.1
49 0.03715724 0.03345653 0.0043
50 0.03715724 0.03345653 -0.1
51 0.04045085 0.02938926 0.0043
52 0.04045085 0.02938926 -0.1
53 0.04330127 0.025 0.0043
54 0.04330127 0.025 -0.1
55 0.04567727 0.02033683 0.0043
56 0.04567727 0.02033683 -0.1
57 0.04755283 0.01545085 0.0043
58 0.04755283 0.01545085 -0.1
59 0.04890738 0.01039558 0.0043
60 0.04890738 0.01039558 -0.1
61 0.04972609 0.005226423 0.0043
62 0.04972609 0.005226423 -0.1
63 0.05 6.123234e-18 0.0043
64 0.05 6.123234e-18 -0.1
65 0.04972609 -0.005226423 0.0043
66 0.04972609 -0.005226423 -0.1
67 0.04890738 -0.01039558 0.0043
68 0.04890738 -0.01039558 -0.1
69 0.04755283 -0.01545085 0.0043
70 0.04755283 -0.01545085 -0.1
71 0.04567727 -0.02033683 0.0043
72 0.04567727 -0.02033683 -0.1
73 0.04330127 -0.025 0.0043
74 0.04330127 -0.025 -0.1
75 0.04045085 -0.02938926 0.0043
76 0.04045085 -0.02938926 -0.1
77 0.03715724 -0.03345653 0.0043
78 0.03715724 -0.03345653 -0.1
79 0.03345653 -0.03715724 0.0043
80 0.03345653 -0.03715724 -0.1
81 0.02938926 -0.04045085 0.0043
82 0.02938926 -0.04045085 -0.1
83 0.025 -0.04330127 0.0043
84 0.025 -0.04330127 -0.1
85 0.02033683 -0.04567727 0.0043
86 0.02033683 -0.04567727 -0.1
87 0.01545085 -0.04755283 0.0043
88 0.01545085 -0.04755283 -0.1
89 0.01039558 -0.04890738 0.0043
90 0.01039558 -0.04890738 -0.1
91 0.005226423 -0.04972609 0.0043
92 0.005226423 -0.04972609 -0.1
93 9.184851e-18 -0.05 0.0043
94 2.146806e-17 -0.05 -0.1
95 -0.005226423 -0.04972609 0.0043
96 -0.005226423 -0.04972609 -0.1
97 -0.01039558 -0.04890738 0.0043
98 -0.01039558 -0.04890738 -0.1
99 -0.01545085 -0.04755283 0.0043
100 -0.01545085 -0.04755283 -0.1
101 -0.02033683 -0.04567727 0.0043
102 -0.02033683 -0.04567727 -0.1
103 -0.025 -0.04330127 0.0043
104 -0.025 -0.04330127 -0.1
105 -0.02938926 -0.04045085 0.0043
106 -0.02938926 -0.04045085 -0.1
107 -0.03345653 -0.03715724 0.0043
108 -0.03345653 -0.03715724 -0.1
109 -0.03715724 -0.03345653 0.0043
110 -0.03715724 -0.03345653 -0.1
111 -0.04045085 -0.02938926 0.0043
112 -0.04045085 -0.02938926 -0.1
113 -0.04330127 -0.025 0.0043
114 -0.04330127 -0.025 -0.1
115 -0.04567727 -0.02033683 0.0043
116 -0.04567727 -0.02033683 -0.1
117 -0.04755283 -0.01545085 0.0043
118 -0.04755283 -0.01545085 -0.1
119 -0.04890738 -0.01039558 0.0043
120 -0.04890738 -0.01039558 -0.1
121 -0.04972609 -0.005226423 0.0043
122 -0.04972609 -0.005226423 -0.1
1 3 5 2
4 2 6 3
1 5 7 2
6 2 8 3
1 7 9 2
8 2 10 3
1 9 11 2
10 2 12 3
1 11 13 2
12 2 14 3
1 13 15 2
14 2 16 3
1 15 17 2
16 2 18 3
1 17 19 2
18 2 20 3
1 19 21 2
20 2 22 3
1 21 23 2
22 2 24 3
1 23 25 2
24 2 26 3
1 25 27 2
26 2 28 3
1 27 29 2
28 2 30 3
1 29 31 2
30 2 32 3
1 31 33 2
32 2 34 3
1 33 35 2
34 2 36 3
1 35 37 2
36 2 38 3
1 37 39 2
38 2 40 3
1 39 41 2
40 2 42 3
1 41 43 2
42 2 44 3
1 43 45 2
44 2 46 3
1 45 47 2
46 2 48 3
1 47 49 2
48 2 50 3
1 49 51 2
50 2 52 3
1 51 53 2
52 2 54 3
1 53 55 2
54 2 56 3
1 55 57 2
56 2 58 3
1 57 59 2
58 2 60 3
1 59 61 2
60 2 62 3
1 61 63 2
62 2 64 3
1 63 65 2
64 2 66 3
1 65 67 2
66 2 68 3
1 67 69 2
68 2 70 3
1 69 71 2
70 2 72 3
1 71 73 2
72 2 74 3
1 73 75 2
74 2 76 3
1 75 77 2
76 2 78 3
1 77 79 2
78 2 80 3
1 79 81 2
80 2 82 3
1 81 83 2
82 2 84 3
1 83 85 2
84 2 86 3
1 85 87 2
86 2 88 3
1 87 89 2
88 2 90 3
1 89 91 2
90 2 92 3
1 91 93 2
92 2 94 3
1 93 95 2
94 2 96 3
1 95 97 2
96 2 98 3
1 97 99 2
98 2 100 3
1 99 101 2
100 2 102 3
1 101 103 2
102 2 104 3
1 103 105 2
104 2 106 3
1 105 107 2
106 2 108 3
1 107 109 2
108 2 110 3
1 109 111 2
110 2 112 3
1 111 113 2
112 2 114 3
1 113 115 2
114 2 116 3
1 115 117 2
116 2 118 3
1 117 119 2
118 2 120 3
1 119 121 2
120 2 122 3
1 121 3 2
122 2 4 3
3 4 6 1
3 6 5 1
5 6 8 1
5 8 7 1
7 8 10 1
7 10 9 1
9 10 12 1
9 12 11 1
11 12 14 1
11 14 13 1
13 14 16 1
13 16 15 1
15 16 18 1
15 18 17 1
17 18 20 1
